tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
DAMN #jeronica https://t.co/UlOot7nPbe,False,en,5,0,2021-03-01 00:51:00,1366189191047086088,"{'neg': 0.632, 'neu': 0.368, 'pos': 0.0, 'compound': -0.5319}","['damn', 'jeronica']",damn jeronica
Everytime #jeronica https://t.co/BW7Lgjw84g,False,en,7,1,2021-03-01 00:50:55,1366189170125905922,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['everytime', 'jeronica']",everytime jeronica
They way he looks at her. #jeronica #riverdale https://t.co/kmrpIfhwvf,False,en,30,7,2021-03-01 00:50:52,1366189159627567115,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['way', 'looks', 'jeronica', 'riverdale']",way looks jeronica riverdale
RT @ShellyLahey: I was very bored so enjoy my lovely Jeronica’s!! https://t.co/tBrkpTT1vO,False,en,0,2,2021-03-01 00:18:01,1366180889189842947,"{'neg': 0.123, 'neu': 0.411, 'pos': 0.467, 'compound': 0.8272}","['bored', 'enjoy', 'lovely', 'jeronica']",bored enjoy lovely jeronica
if u wrote in jeronica barchie or bughead into the gay ship awards why are u homophobic😭,False,en,30,1,2021-02-28 23:53:33,1366174732890959872,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4588}","['u', 'wrote', 'jeronica', 'barchie', 'bughead', 'gay', 'ship', 'awards', 'u', 'homophobic']",u wrote jeronica barchie bughead gay ship awards u homophobic
"@rtalalay I really wanted something to happen between Jugh and Veronica in this episode! But the ""unexpected"" kiss will probably not be theirs. It is difficult to like Jeronica, when we know that they both have a lot of chemistry and the writers waste it. But we cannot have expectations https://t.co/xrZG6noSqu",False,en,11,1,2021-02-28 23:30:43,1366168988573708291,"{'neg': 0.095, 'neu': 0.809, 'pos': 0.095, 'compound': 0.0}","['really', 'wanted', 'something', 'happen', 'jugh', 'veronica', 'episode', 'unexpected', 'kiss', 'probably', 'difficult', 'like', 'jeronica', 'know', 'lot', 'chemistry', 'writers', 'waste', 'cannot', 'expectations']",really wanted something happen jugh veronica episode unexpected kiss probably difficult like jeronica know lot chemistry writers waste cannot expectations
"@rtalalay Jeronica should happen, the fandom needs this @rtalalay @WriterRAS !!!!",False,en,2,0,2021-02-28 23:12:19,1366164358477283329,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['jeronica', 'happen', 'fandom', 'needs']",jeronica happen fandom needs
I was very bored so enjoy my lovely Jeronica’s!! https://t.co/tBrkpTT1vO,False,en,28,2,2021-02-28 22:10:19,1366148754517020673,"{'neg': 0.137, 'neu': 0.343, 'pos': 0.52, 'compound': 0.8272}","['bored', 'enjoy', 'lovely', 'jeronica']",bored enjoy lovely jeronica
omggg please be a Jeronica!! 😳 #jeronica #vughead https://t.co/fp1GZBORDU https://t.co/2vsFZa5LEk,True,en,7,0,2021-02-28 21:34:26,1366139723702534145,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.4374}","['omggg', 'please', 'jeronica', 'jeronica', 'vughead']",omggg please jeronica jeronica vughead
@rtalalay please be Jeronica omgggg!!!,False,en,3,0,2021-02-28 21:30:10,1366138651537727492,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.4898}","['please', 'jeronica', 'omgggg']",please jeronica omgggg
Please let one of those kisses be #jeronica #Riverdale #vughead https://t.co/s5xmLvY5bM,True,en,7,0,2021-02-28 21:19:28,1366135956382781440,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}","['please', 'let', 'one', 'kisses', 'jeronica', 'riverdale', 'vughead']",please let one kisses jeronica riverdale vughead
even jeronica kissing isnt that bad. I just hate barchie,False,en,1,0,2021-02-28 20:23:01,1366121753013932037,"{'neg': 0.228, 'neu': 0.369, 'pos': 0.403, 'compound': 0.431}","['even', 'jeronica', 'kissing', 'isnt', 'bad', 'hate', 'barchie']",even jeronica kissing isnt bad hate barchie
WAIT WAIT- WHAT IF JERONICA??? https://t.co/ivNs8Dgkx3,True,en,9,0,2021-02-28 20:13:46,1366119423388639232,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['wait', 'wait', 'jeronica']",wait wait jeronica
@milfyswift cole and camila apart of the jeronica friendship community confirmed! i rlly think the writers are wasting their potential by never having them interact. they could be so fun to watch and also have sweeter moments where they bond over their parents and how they shaped their lives,False,en,6,0,2021-02-28 18:49:19,1366098170942533634,"{'neg': 0.049, 'neu': 0.816, 'pos': 0.135, 'compound': 0.694}","['cole', 'camila', 'apart', 'jeronica', 'friendship', 'community', 'confirmed', 'rlly', 'think', 'writers', 'wasting', 'potential', 'never', 'interact', 'could', 'fun', 'watch', 'also', 'sweeter', 'moments', 'bond', 'parents', 'shaped', 'lives']",cole camila apart jeronica friendship community confirmed rlly think writers wasting potential never interact could fun watch also sweeter moments bond parents shaped lives
here's how there's still time for jeronica to be friends instead of acquaintances after five seasons i will try to be brief,False,en,8,0,2021-02-28 18:33:37,1366094218461138948,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.4767}","['still', 'time', 'jeronica', 'friends', 'instead', 'acquaintances', 'five', 'seasons', 'try', 'brief']",still time jeronica friends instead acquaintances five seasons try brief
its funny that jeronicas exist and i know they exist but i have never encountered one please follow me im not a jeronica but i love them immensely and love to talk abt the implications of time skip jughead and veronica at all times,False,en,10,0,2021-02-28 18:32:08,1366093845268676609,"{'neg': 0.233, 'neu': 0.727, 'pos': 0.039, 'compound': -0.8909}","['funny', 'jeronicas', 'exist', 'know', 'exist', 'never', 'encountered', 'one', 'please', 'follow', 'im', 'jeronica', 'love', 'immensely', 'love', 'talk', 'abt', 'implications', 'time', 'skip', 'jughead', 'veronica', 'times']",funny jeronicas exist know exist never encountered one please follow im jeronica love immensely love talk abt implications time skip jughead veronica times
jeronica X deep end https://t.co/tEyP6rIVsa,False,en,0,0,2021-02-28 18:25:06,1366092077805764615,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['jeronica', 'x', 'deep', 'end']",jeronica x deep end
jeronica X fire on fire https://t.co/PUM6JAhRaw,False,en,0,0,2021-02-28 18:25:06,1366092075821903874,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.5859}","['jeronica', 'x', 'fire', 'fire']",jeronica x fire fire
RT @ifyoutrustme: jugtabitharonnie trio where veronica and tabitha connect over their struggle in trying to decide if they’re pops girls or…,False,en,0,1,2021-02-28 18:01:46,1366086202659602433,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.3182}","['jugtabitharonnie', 'trio', 'veronica', 'tabitha', 'connect', 'struggle', 'trying', 'decide', 'pops', 'girls']",jugtabitharonnie trio veronica tabitha connect struggle trying decide pops girls
"RT @BarrosEsquerdo: @victoria106__ @imaginebarchie I hope he said a truth in a good sense, for the fandom Jeronica https://t.co/8YhuVpNCGO",False,en,0,1,2021-02-28 17:51:48,1366083697108279301,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.7964}","['hope', 'said', 'truth', 'good', 'sense', 'fandom', 'jeronica']",hope said truth good sense fandom jeronica
RT @ifyoutrustme: the bechdel test but it’s jeronica having a conversation that isn’t about betty or archie,False,en,0,1,2021-02-28 17:29:55,1366078190003707907,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bechdel', 'test', 'jeronica', 'conversation', 'betty', 'archie']",bechdel test jeronica conversation betty archie
@CW_Riverdale Good morning give me some more Jeronica crumbs :) https://t.co/LxKmIqH048,False,en,20,4,2021-02-28 17:02:11,1366071209474031624,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.7322}","['good', 'morning', 'give', 'jeronica', 'crumbs']",good morning give jeronica crumbs
"this is how we got stuck with literally the worst ships in teen tv history on rvd for four seasons. now imagine if barchie, veggie or jeronica were the main couples from the start? the show seems better doesn’t it? https://t.co/Im8jUgivUX",False,en,2,0,2021-02-28 17:01:59,1366071159444426755,"{'neg': 0.136, 'neu': 0.802, 'pos': 0.061, 'compound': -0.5514}","['got', 'stuck', 'literally', 'worst', 'ships', 'teen', 'tv', 'history', 'rvd', 'four', 'seasons', 'imagine', 'barchie', 'veggie', 'jeronica', 'main', 'couples', 'start', 'show', 'seems', 'better']",got stuck literally worst ships teen tv history rvd four seasons imagine barchie veggie jeronica main couples start show seems better
"@victoria106__ If Ted said we would have more scenes of J and V! Why do they insist on recording Vachie scenes?  It is useless for them to continue to insist on these couples. @WriterRAS  Jeronica has so much potential! And you are wasting it. I say again, this is not what we want. https://t.co/3HeMAYgAwi",False,en,1,0,2021-02-28 16:51:25,1366068501425893380,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.7435}","['ted', 'said', 'would', 'scenes', 'j', 'v', 'insist', 'recording', 'vachie', 'scenes', 'useless', 'continue', 'insist', 'couples', 'jeronica', 'much', 'potential', 'wasting', 'say', 'want']",ted said would scenes j v insist recording vachie scenes useless continue insist couples jeronica much potential wasting say want
"@victoria106__ @imaginebarchie I hope he said a truth in a good sense, for the fandom Jeronica https://t.co/8YhuVpNCGO",False,en,4,1,2021-02-28 16:43:11,1366066430249213953,"{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.7964}","['hope', 'said', 'truth', 'good', 'sense', 'fandom', 'jeronica']",hope said truth good sense fandom jeronica
#Jeronica needs a chance https://t.co/HfIfg3qkSZ,False,en,15,3,2021-02-28 16:36:30,1366064748098322434,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.25}","['jeronica', 'needs', 'chance']",jeronica needs chance
jugtabitharonnie trio where veronica and tabitha connect over their struggle in trying to decide if they’re pops girls or mias girls and jeronica connect over replicating their parents and they all solve mysteries together and have fun &lt;3 I’VE CONNECTED THE DOTS,False,en,11,1,2021-02-28 16:20:21,1366060682085597189,"{'neg': 0.05, 'neu': 0.841, 'pos': 0.11, 'compound': 0.4215}","['jugtabitharonnie', 'trio', 'veronica', 'tabitha', 'connect', 'struggle', 'trying', 'decide', 'pops', 'girls', 'mias', 'girls', 'jeronica', 'connect', 'replicating', 'parents', 'solve', 'mysteries', 'together', 'fun', 'lt', '3', 'connected', 'dots']",jugtabitharonnie trio veronica tabitha connect struggle trying decide pops girls mias girls jeronica connect replicating parents solve mysteries together fun lt 3 connected dots
the bechdel test but it’s jeronica having a conversation that isn’t about betty or archie,False,en,11,1,2021-02-28 15:32:16,1366048581833134083,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bechdel', 'test', 'jeronica', 'conversation', 'betty', 'archie']",bechdel test jeronica conversation betty archie
the jeronica kiss scene is so funny literally what was going on in that scene,False,en,4,0,2021-02-28 15:27:15,1366047318487822336,"{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.7609}","['jeronica', 'kiss', 'scene', 'funny', 'literally', 'going', 'scene']",jeronica kiss scene funny literally going scene
"@ShellyLahey I can't seem to like them both in a romantic relationship, when in fact the writers should enjoy Jeronica's chemistry! for me, Tabitha and Jugh should be good friends https://t.co/JetirvYl9N",False,en,2,0,2021-02-28 13:59:01,1366025113016098816,"{'neg': 0.055, 'neu': 0.627, 'pos': 0.318, 'compound': 0.8774}","['seem', 'like', 'romantic', 'relationship', 'fact', 'writers', 'enjoy', 'jeronica', 'chemistry', 'tabitha', 'jugh', 'good', 'friends']",seem like romantic relationship fact writers enjoy jeronica chemistry tabitha jugh good friends
"my biggest endgame losses literally hassandra, danamy, jonerys, braime, dair, quinncarrie, mergana, stevenat, katjustin, scira, jeronica, phoney, jolaurie, thomesa, wolfstar, jily, simongrace, sansaery, theonsa, bella, wallie, missworm, falice",False,en,7,0,2021-02-28 12:05:27,1365996533884145667,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.4019}","['biggest', 'endgame', 'losses', 'literally', 'hassandra', 'danamy', 'jonerys', 'braime', 'dair', 'quinncarrie', 'mergana', 'stevenat', 'katjustin', 'scira', 'jeronica', 'phoney', 'jolaurie', 'thomesa', 'wolfstar', 'jily', 'simongrace', 'sansaery', 'theonsa', 'bella', 'wallie', 'missworm', 'falice']",biggest endgame losses literally hassandra danamy jonerys braime dair quinncarrie mergana stevenat katjustin scira jeronica phoney jolaurie thomesa wolfstar jily simongrace sansaery theonsa bella wallie missworm falice
"I tried as hard as I could but if there's no jeronica I'm out, I have other series to watch",False,en,0,0,2021-02-28 11:17:39,1365984506960830466,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4588}","['tried', 'hard', 'could', 'jeronica', 'series', 'watch']",tried hard could jeronica series watch
@lancesnarts Always jeronica 💚,False,en,0,0,2021-02-28 10:16:58,1365969232744349696,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['always', 'jeronica']",always jeronica
"fuck barchie , bighead , Archie , jeronica ship beronica.",False,en,2,0,2021-02-28 08:55:03,1365948618054635521,"{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.5423}","['fuck', 'barchie', 'bighead', 'archie', 'jeronica', 'ship', 'beronica']",fuck barchie bighead archie jeronica ship beronica
"RT @barcheated: Good day for jeronica nation

https://t.co/gzAD02o44Y",False,en,0,1,2021-02-28 08:43:34,1365945727915089920,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}","['good', 'day', 'jeronica', 'nation']",good day jeronica nation
"RT @imaginebarchie: my bestie, barchies this is to bring to your attention that I very recently discovered Jeronica could be amazing ,they'…",False,en,0,3,2021-02-28 08:08:44,1365936961605820416,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.5859}","['bestie', 'barchies', 'bring', 'attention', 'recently', 'discovered', 'jeronica', 'could', 'amazing']",bestie barchies bring attention recently discovered jeronica could amazing
@spott3d If they actually went to go to Pops then we would've of have some Jeronica crumbs right at the moment ughhh fuck Chad!!! 😩  #jeronica,False,en,4,0,2021-02-28 06:34:05,1365913142157574144,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.6571}","['actually', 'went', 'go', 'pops', 'would', 'jeronica', 'crumbs', 'right', 'moment', 'ughhh', 'fuck', 'chad', 'jeronica']",actually went go pops would jeronica crumbs right moment ughhh fuck chad jeronica
"RT @SJEarthquakes: There's something special brewing in San Jose. 

This week in ""Our City, Our Stories,"" we're highlighting our friends at…",False,en,0,8,2021-02-28 06:29:06,1365911891416133632,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7003}","['something', 'special', 'brewing', 'san', 'jose', 'week', 'city', 'stories', 'highlighting', 'friends']",something special brewing san jose week city stories highlighting friends
